001,おにぎり,500,おばあちゃんのお握り,二個セット
002,お味噌汁,500,おかあちゃんのお味噌汁です,あったかくておいしいよ
003,お鍋,1500,みんなでお鍋を囲んで楽しいひとときを,闇鍋もＯＫ！！！
004,直送ワイン,20000,高級ワインをお楽しみ下さい,赤
005,謎茸,10000,裏山で取れた茸です,毒茸かそれとも松茸か届いてからのお楽しみ
006,果実,800,食後の果物を忘れずに,国産品です
007,静止衛星,50000000,あなた専用の衛星です,先着５名様まで
008,アンテナ,10000000,静止衛星からの電波をキャッチします,用途不明
009,飛行機,30000000,あなた専用の飛行機です,世界一周旅行用燃料セット
010,ビル,20000000,あなたのオフィスにぴったりのビルです,新宿100丁目駅から徒歩30秒
011,プラモデル,100000,速度だけは一人前のプラモデルです,100ｋまで保証
012,ビジネスツール,90000,ビジネスマンの必需品を集めた鞄です,働くあなたに
013,スーツ,20000,ピシッ！と決めてバシッ！っと成績アップ？,形状記憶スーツ
014,新聞,150,この新聞にあなたの広告を乗せて見ませんか？,夢をあなたに
015,レターセット,500,手書きの心温まるメールを送ってみませんか？,
016,偽2000円札,2000,最近のコピー機なら一発です。たぶん,
017,地球,0,商品にしてはいけませんね
